2026年广州市普通高中名额分配结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,"名额
考生",,,省市名额,,,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,"__
中",,四中,,,南海中学,,,西外,,真光本部,,真光汾水,,真光广钢
7 ,01 1210,广州市黄埔区双沙中学,,,,32 ,,,2 ,,,6 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,,0 ,,0 ,,0 ,,1 ,,1 ,,,1 ,,,0 ,,2 ,,0 ,,1 
8 ,011211 ,广州开发区中学,,,,330 ,,,17 ,,,59 ,,,0 ,,0 ,,1 ,,2 ,,1 ,,0 ,3 ,,0 ,,1 ,,1 ,,1 ,,0 ,,1 ,2 ,,1 ,,0 ,,0 ,,1 ,,0 ,,2 ,,0 ,,11 ,,10 ,,5 ,,,10 ,,,7 ,,8 ,,5 ,,3 
9 ,01 1212,广州市黄埔区东区中学,,,,42 ,,,2 ,,,7 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,,3 ,,1 ,,2 ,,0 
10 ,01 1213,广州科学城中学,,,,225 ,,,11 ,,,40 ,,,0 ,,1 ,,1 ,,1 ,,1 ,,2 ,0 ,,1 ,,0 ,,1 ,,0 ,,1 ,,0 ,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,4 ,,9 ,,4 ,,,4 ,,,5 ,,4 ,,4 ,,6 
11 ,01 1215,广州市第一一七中学,,,,266 ,,,14 ,,,56 ,,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,1 ,,2 ,,1 ,,2 ,,0 ,,1 ,,0 ,1 ,,0 ,,0 ,,2 ,,0 ,,1 ,,1 ,,1 ,,5 ,,9 ,,14 ,,,4 ,,,10 ,,5 ,,4 ,,5 
12 ,01 1219,广州市黄埔区玉岩实验学校,,,,531 ,,,27 ,,,113 ,,,1 ,,2 ,,3 ,,1 ,,2 ,,1 ,0 ,,2 ,,1 ,,1 ,,0 ,,0 ,,1 ,1 ,,4 ,,1 ,,0 ,,2 ,,2 ,,1 ,,1 ,,11 ,,41 ,,13 ,,,10 ,,,8 ,,11 ,,11 ,,8 
13 ,01 1221,广州市黄埔区华峰学校,,,,166 ,,,8 ,,,36 ,,,1 ,,1 ,,0 ,,0 ,,0 ,,1 ,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,2 ,,3 ,,8 ,,9 ,,,2 ,,,2 ,,4 ,,7 ,,1 
14 ,01 1222,广州市黄埔区华实学校,,,,444 ,,,23 ,,,79 ,,,2 ,,1 ,,1 ,,2 ,,2 ,,1 ,0 ,,2 ,,3 ,,2 ,,0 ,,0 ,,0 ,0 ,,2 ,,0 ,,2 ,,0 ,,1 ,,1 ,,1 ,,8 ,,16 ,,11 ,,,4 ,,,13 ,,5 ,,11 ,,11 
15 ,01 1223,广州市天健学校,,,,298 ,,,15 ,,,53 ,,,0 ,,2 ,,0 ,,0 ,,2 ,,0 ,0 ,,2 ,,0 ,,2 ,,0 ,,0 ,,0 ,0 ,,1 ,,1 ,,1 ,,1 ,,1 ,,1 ,,1 ,,7 ,,9 ,,14 ,,,6 ,,,6 ,,4 ,,2 ,,5 
16 ,01 1224,广州市黄埔区华外同文外国语学校,,,,91 ,,,5 ,,,16 ,,,0 ,,1 ,,0 ,,0 ,,1 ,,0 ,0 ,,1 ,,0 ,,1 ,,0 ,,0 ,,1 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,3 ,,3 ,,1 ,,,2 ,,,0 ,,5 ,,2 ,,0 
17 ,01 1227,广州市黄埔区玉泉学校,,,,446 ,,,23 ,,,80 ,,,1 ,,1 ,,1 ,,0 ,,0 ,,1 ,1 ,,1 ,,1 ,,1 ,,1 ,,2 ,,2 ,4 ,,1 ,,0 ,,2 ,,1 ,,2 ,,0 ,,0 ,,6 ,,19 ,,9 ,,,15 ,,,7 ,,6 ,,10 ,,8 
18 ,01 1228,北京师范大学广州实验学校,,,,508 ,,,26 ,,,91 ,,,0 ,,1 ,,4 ,,1 ,,2 ,,0 ,0 ,,2 ,,2 ,,1 ,,1 ,,0 ,,0 ,1 ,,4 ,,1 ,,0 ,,2 ,,1 ,,0 ,,3 ,,11 ,,13 ,,14 ,,,12 ,,,13 ,,6 ,,8 ,,14 
19 ,01 1229,广州市黄埔区开元学校,,,,338 ,,,17 ,,,60 ,,,0 ,,1 ,,2 ,,0 ,,2 ,,0 ,2 ,,0 ,,2 ,,0 ,,0 ,,1 ,,1 ,1 ,,0 ,,0 ,,1 ,,2 ,,2 ,,0 ,,0 ,,7 ,,9 ,,11 ,,,9 ,,,4 ,,6 ,,7 ,,7 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,,区属名额,,华附石牌,,华附知识城,,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,,侨中,,协和,,广附,"铁
__
越
秀",,,"铁
__
番
禺",,"铁
__
白
云",广州外国语,,,清湾智谷,,清湾智慧城,,八十六中,,玉岩,,科中,,,石化中学,,北师大广实,,黄埔开元,,广实,黄埔苏元
20 ,01 1230,广州市黄埔区会元学校,,,,217 ,,18 ,,,39 ,,0 ,,0 ,,,0 ,,1 ,,1 ,,0 ,,0 ,,2 ,,7 ,,1 ,,0 ,,1 ,,,0 ,,0 ,,1 ,0 ,,,1 ,,1 ,1 ,,,1 ,,0 ,,6 ,,8 ,,6 ,,,6 ,,6 ,,0 ,,3 ,4 
21 ,01 1231,广东省教育研究院黄埔实验学校,,,,212 ,,11 ,,,45 ,,0 ,,0 ,,,0 ,,1 ,,2 ,,0 ,,0 ,,2 ,,0 ,,0 ,,0 ,,0 ,,,2 ,,0 ,,1 ,1 ,,,0 ,,1 ,0 ,,,1 ,,0 ,,5 ,,12 ,,6 ,,,7 ,,5 ,,6 ,,1 ,3 
22 ,01 1232,广州市新侨学校,,,,1 ,,1 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,0 
23 ,01 1233,广州市黄埔区铁英中学,,,,655 ,,34 ,,,117 ,,1 ,,0 ,,,1 ,,4 ,,2 ,,0 ,,1 ,,1 ,,4 ,,4 ,,1 ,,2 ,,,1 ,,0 ,,2 ,1 ,,,1 ,,3 ,1 ,,,1 ,,3 ,,12 ,,28 ,,12 ,,,14 ,,15 ,,16 ,,9 ,11 
24 ,01 1234,广州实验中学,,,,644 ,,33 ,,,115 ,,1 ,,1 ,,,1 ,,4 ,,2 ,,1 ,,2 ,,2 ,,6 ,,0 ,,0 ,,1 ,,,0 ,,1 ,,0 ,1 ,,,0 ,,3 ,4 ,,,1 ,,2 ,,13 ,,25 ,,19 ,,,12 ,,17 ,,8 ,,9 ,12 
25 ,01 1235,广州市黄埔军校中学,,,,484 ,,25 ,,,86 ,,0 ,,2 ,,,2 ,,1 ,,2 ,,1 ,,1 ,,2 ,,3 ,,0 ,,0 ,,0 ,,,1 ,,2 ,,3 ,1 ,,,0 ,,1 ,1 ,,,0 ,,2 ,,9 ,,19 ,,6 ,,,13 ,,8 ,,14 ,,8 ,9 
26 ,01 1236,广东外语外贸大学附属科学城实验学校,,,,94 ,,5 ,,,17 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,2 ,,0 ,,0 ,,0 ,,,0 ,,1 ,,1 ,1 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,2 ,,3 ,,2 ,,,3 ,,1 ,,3 ,,2 ,1 
27 ,01 1237,广东外语外贸大学附属黄埔实验学校,,,,143 ,,7 ,,,25 ,,0 ,,1 ,,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,,0 ,,1 ,,0 ,1 ,,,0 ,,0 ,1 ,,,0 ,,1 ,,4 ,,8 ,,1 ,,,5 ,,3 ,,1 ,,2 ,1 
28 ,01 1238,湖南师范大学附属黄埔实验学校,,,,272 ,,14 ,,,49 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,1 ,,1 ,,2 ,,1 ,,0 ,,2 ,,,0 ,,1 ,,1 ,1 ,,,0 ,,0 ,1 ,,,0 ,,1 ,,3 ,,11 ,,8 ,,,10 ,,6 ,,7 ,,1 ,3 
29 ,01 1239,广州知识城中学,,,,309 ,,16 ,,,55 ,,3 ,,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,1 ,,3 ,,1 ,,0 ,,1 ,,,0 ,,1 ,,0 ,0 ,,,1 ,,1 ,2 ,,,1 ,,0 ,,4 ,,10 ,,7 ,,,8 ,,9 ,,6 ,,6 ,5 
30 ,01 1240,华南师范大学附属中学(知识城校区),,,,188 ,,10 ,,,34 ,,0 ,,0 ,,,0 ,,1 ,,2 ,,0 ,,1 ,,0 ,,0 ,,1 ,,1 ,,0 ,,,0 ,,0 ,,1 ,0 ,,,0 ,,0 ,1 ,,,0 ,,2 ,,4 ,,4 ,,3 ,,,4 ,,6 ,,4 ,,4 ,5 
31 ,01 1241,广州市黄埔区丰乐初级中学,,,,219 ,,11 ,,,39 ,,0 ,,0 ,,,2 ,,2 ,,0 ,,1 ,,0 ,,1 ,,0 ,,1 ,,1 ,,0 ,,,1 ,,0 ,,0 ,1 ,,,0 ,,0 ,0 ,,,0 ,,1 ,,3 ,,8 ,,7 ,,,4 ,,6 ,,5 ,,3 ,3 
32 ,01 1242,广大附中高新区实验学校,,,,184 ,,9 ,,,33 ,,0 ,,0 ,,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,3 ,,,0 ,,1 ,,1 ,1 ,,,0 ,,0 ,0 ,,,1 ,,0 ,,4 ,,13 ,,5 ,,,0 ,,2 ,,2 ,,5 ,2 
33 ,01 1261,广州市黄埔东晖学校,,,,2 ,,1 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,0 
34 ,01 1267,广州市黄埔国光学校,,,,3 ,,0 ,,,1 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,0 ,,1 ,,0 ,,,0 ,,0 ,,0 ,,0 ,0 
35 ,01 1270,广州市黄埔区中黄外国语实验学校,,,,35 ,,2 ,,,6 ,,0 ,,1 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,1 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,2 ,,1 ,,0 ,,,2 ,,0 ,,0 ,,1 ,0 
36 ,01 1272,广州市黄埔东联学校,,,,0 ,,0 ,,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,0 
37 ,01 1274,广州市黄埔军校纪念中学,,,,367 ,,19 ,,,65 ,,1 ,,0 ,,,2 ,,1 ,,1 ,,0 ,,2 ,,2 ,,1 ,,0 ,,0 ,,1 ,,,1 ,,0 ,,0 ,0 ,,,2 ,,0 ,1 ,,,2 ,,2 ,,8 ,,16 ,,6 ,,,5 ,,7 ,,12 ,,4 ,7 
38 ,01 1275,广州市黄埔区南方中英文学校,,,,5 ,,0 ,,,1 ,,0 ,,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,0 ,,0 ,0 ,,,0 ,,0 ,0 ,,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,1 ,,0 ,,0 ,0 
39 ,01 1277,广州市黄埔区苏元学校,,,,499 ,,26 ,,,89 ,,1 ,,0 ,,,2 ,,0 ,,0 ,,5 ,,1 ,,3 ,,1 ,,3 ,,1 ,,2 ,,,0 ,,0 ,,1 ,1 ,,,0 ,,2 ,1 ,,,0 ,,2 ,,16 ,,18 ,,14 ,,,7 ,,11 ,,5 ,,7 ,11 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,名额考生,,省市名额,,,区属名额,,华附石牌,,华附知识城,,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,,侨中,,协和,,广附,"铁
__
越
秀",,,"铁
__
番
禺",,"铁
__
白
云",广州外国语,,,清湾智谷,,清湾智慧城,,八十六中,,玉岩,,科中,,,石化中学,,北师大广实,,黄埔开元,,广实,黄埔苏元
40 ,01 1278,广大附中黄埔实验学校,,,,716 ,,37 ,,,128 ,,3 ,,1 ,,,1 ,,2 ,,2 ,,2 ,,3 ,,2 ,,3 ,,2 ,,2 ,,1 ,,,1 ,,3 ,,4 ,1 ,,,0 ,,0 ,2 ,,,2 ,,0 ,,14 ,,23 ,,16 ,,,22 ,,16 ,,15 ,,9 ,13 
41 ,01 1280,华南师范大学附属黄埔实验学校,,,,178 ,,9 ,,,32 ,,0 ,,0 ,,,1 ,,0 ,,0 ,,1 ,,1 ,,0 ,,1 ,,1 ,,1 ,,0 ,,,1 ,,0 ,,1 ,0 ,,,1 ,,0 ,0 ,,,0 ,,0 ,,9 ,,5 ,,5 ,,,3 ,,1 ,,3 ,,3 ,3 
"注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21
第3页 共3页",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,名额考生,省市名额,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,六中从化,,六中花都,,侨中,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,仲元,,番中,,番实,,象贤,,石碁,,洛溪新城,,禺山,,,石北,,,石楼,,南村,,大龙,,二师番禺附中
,0113 ,番禺区,16024 ,838 ,4474 ,,,26 ,,31 ,,50 ,,36 ,49 ,,36 ,,37 ,,55 ,,68 ,,52 ,24 ,,34 ,,33 ,43 ,,56 ,,23 ,,24 ,,42 ,,49 ,,28 ,,42 ,,500 ,,500 ,,325 ,,499 ,,200 ,,300 ,,500 ,,,400 ,,,200 ,,250 ,,300 ,,500 
1 ,01 1302,广东番禺中学附属学校,381 ,20 ,105 ,,,0 ,,0 ,,2 ,,0 ,1 ,,0 ,,2 ,,4 ,,1 ,,2 ,1 ,,1 ,,1 ,0 ,,0 ,,0 ,,1 ,,1 ,,0 ,,1 ,,2 ,,15 ,,11 ,,8 ,,11 ,,2 ,,6 ,,10 ,,,10 ,,,3 ,,7 ,,6 ,,16 
2 ,01 1303,广州市番禺区实验中学,282 ,14 ,87 ,,,0 ,,0 ,,1 ,,1 ,2 ,,0 ,,0 ,,1 ,,3 ,,1 ,0 ,,1 ,,1 ,1 ,,1 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,5 ,,7 ,,20 ,,4 ,,3 ,,5 ,,10 ,,,4 ,,,4 ,,7 ,,9 ,,9 
3 ,01 1304,广州市番禺区市桥东风中学,482 ,25 ,133 ,,,0 ,,1 ,,0 ,,0 ,0 ,,4 ,,1 ,,2 ,,7 ,,0 ,1 ,,0 ,,1 ,1 ,,2 ,,1 ,,2 ,,1 ,,0 ,,1 ,,0 ,,15 ,,9 ,,10 ,,14 ,,7 ,,11 ,,19 ,,,11 ,,,5 ,,6 ,,11 ,,15 
4 ,01 1305,广州市番禺区市桥侨联中学,418 ,21 ,115 ,,,0 ,,1 ,,1 ,,2 ,2 ,,1 ,,1 ,,1 ,,1 ,,2 ,0 ,,1 ,,1 ,1 ,,2 ,,0 ,,0 ,,1 ,,0 ,,2 ,,1 ,,9 ,,19 ,,12 ,,15 ,,8 ,,4 ,,9 ,,,6 ,,,3 ,,8 ,,9 ,,13 
5 ,01 1306,广州市番禺区少年儿童业余体校,4 ,1 ,1 ,,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,,0 ,,,0 ,,0 ,,1 ,,0 
6 ,01 1307,广州市番禺区市桥沙头中学,217 ,11 ,60 ,,,0 ,,0 ,,0 ,,0 ,1 ,,1 ,,0 ,,0 ,,2 ,,1 ,0 ,,0 ,,0 ,0 ,,0 ,,1 ,,1 ,,2 ,,0 ,,2 ,,0 ,,2 ,,5 ,,5 ,,2 ,,5 ,,8 ,,9 ,,,4 ,,,7 ,,1 ,,4 ,,8 
7 ,01 1309,广东仲元中学附属学校,174 ,9 ,48 ,,,0 ,,0 ,,1 ,,0 ,1 ,,0 ,,0 ,,0 ,,0 ,,1 ,1 ,,0 ,,1 ,0 ,,1 ,,1 ,,0 ,,0 ,,1 ,,1 ,,0 ,,3 ,,3 ,,4 ,,6 ,,2 ,,2 ,,6 ,,,4 ,,,5 ,,1 ,,7 ,,5 
8 ,01 1310,广州市番禺区钟村中学,448 ,23 ,123 ,,,0 ,,1 ,,1 ,,1 ,0 ,,3 ,,1 ,,2 ,,3 ,,0 ,1 ,,2 ,,1 ,1 ,,0 ,,0 ,,1 ,,1 ,,3 ,,0 ,,1 ,,14 ,,13 ,,6 ,,17 ,,4 ,,6 ,,20 ,,,14 ,,,7 ,,6 ,,9 ,,7 
9 ,011311 ,广东第二师范学院广州南站附属学校,261 ,13 ,72 ,,,0 ,,0 ,,1 ,,1 ,2 ,,0 ,,1 ,,0 ,,0 ,,1 ,0 ,,0 ,,1 ,1 ,,0 ,,0 ,,2 ,,0 ,,2 ,,0 ,,1 ,,13 ,,7 ,,3 ,,8 ,,3 ,,8 ,,7 ,,,5 ,,,1 ,,6 ,,7 ,,4 
10 ,01 1312,广州市番禺区钟村奥园学校,54 ,3 ,15 ,,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,1 ,,2 ,,2 ,,1 ,,3 ,,0 ,,0 ,,0 ,,,2 ,,,1 ,,2 ,,1 ,,1 
11 ,01 1313,广州市番禺区大石中学,579 ,30 ,160 ,,,1 ,,1 ,,0 ,,0 ,2 ,,2 ,,1 ,,3 ,,1 ,,5 ,2 ,,1 ,,0 ,1 ,,2 ,,1 ,,1 ,,1 ,,1 ,,2 ,,2 ,,22 ,,23 ,,11 ,,17 ,,3 ,,16 ,,11 ,,,12 ,,,9 ,,6 ,,9 ,,21 
12 ,01 1314,广州市番禺区洛浦中学,201 ,10 ,55 ,,,0 ,,3 ,,1 ,,1 ,0 ,,0 ,,0 ,,0 ,,2 ,,1 ,0 ,,0 ,,1 ,1 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,9 ,,6 ,,4 ,,4 ,,2 ,,5 ,,4 ,,,5 ,,,1 ,,3 ,,4 ,,8 
13 ,01 1315,广州市番禺区洛浦沙滘中学,176 ,9 ,49 ,,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,0 ,,1 ,,2 ,,0 ,1 ,,0 ,,0 ,0 ,,1 ,,0 ,,1 ,,1 ,,2 ,,0 ,,0 ,,3 ,,8 ,,3 ,,8 ,,3 ,,4 ,,2 ,,,5 ,,,3 ,,1 ,,1 ,,8 
14 ,01 1316,广州市番禺区大石富丽中学,260 ,13 ,72 ,,,0 ,,1 ,,2 ,,0 ,0 ,,1 ,,1 ,,0 ,,2 ,,1 ,0 ,,0 ,,0 ,1 ,,0 ,,0 ,,0 ,,0 ,,1 ,,2 ,,1 ,,10 ,,6 ,,8 ,,3 ,,4 ,,5 ,,9 ,,,9 ,,,1 ,,6 ,,3 ,,8 
15 ,01 1317,广州市番禺区洛溪新城中学,349 ,18 ,96 ,,,1 ,,0 ,,0 ,,0 ,2 ,,0 ,,2 ,,3 ,,1 ,,1 ,0 ,,3 ,,0 ,0 ,,2 ,,0 ,,0 ,,2 ,,0 ,,0 ,,1 ,,12 ,,8 ,,5 ,,13 ,,8 ,,7 ,,9 ,,,8 ,,,5 ,,6 ,,3 ,,12 
16 ,01 1318,广州市番禺区南村中学,363 ,19 ,112 ,,,1 ,,1 ,,0 ,,1 ,2 ,,1 ,,2 ,,0 ,,1 ,,2 ,0 ,,1 ,,0 ,1 ,,0 ,,1 ,,0 ,,3 ,,0 ,,0 ,,2 ,,8 ,,22 ,,9 ,,13 ,,3 ,,8 ,,11 ,,,11 ,,,4 ,,7 ,,8 ,,8 
17 ,01 1319,广州市番禺区南村镇侨联中学,230 ,20 ,63 ,,,1 ,,0 ,,0 ,,1 ,1 ,,1 ,,0 ,,3 ,,0 ,,0 ,0 ,,1 ,,8 ,1 ,,0 ,,1 ,,0 ,,1 ,,1 ,,0 ,,0 ,,9 ,,10 ,,3 ,,10 ,,4 ,,2 ,,5 ,,,5 ,,,3 ,,3 ,,4 ,,5 
18 ,01 1320,广东仲元中学,449 ,23 ,124 ,,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,2 ,,1 ,,1 ,,0 ,2 ,,5 ,,0 ,2 ,,1 ,,3 ,,0 ,,3 ,,1 ,,1 ,,1 ,,12 ,,12 ,,8 ,,10 ,,4 ,,8 ,,16 ,,,15 ,,,5 ,,6 ,,9 ,,19 
19 ,01 1321,广东第二师范学院番禺附属初级中学,279 ,14 ,77 ,,,0 ,,0 ,,1 ,,0 ,0 ,,0 ,,1 ,,0 ,,0 ,,3 ,0 ,,1 ,,0 ,1 ,,2 ,,0 ,,0 ,,0 ,,0 ,,3 ,,2 ,,9 ,,8 ,,8 ,,6 ,,1 ,,5 ,,6 ,,,8 ,,,3 ,,4 ,,6 ,,13 
注:各初中学校分得的名额分配计划已包含面向集团直接分配的名额.                                                                                                                                                      2026_05_12 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,名额考生,,,省市名额,,区属名额,,,华附石牌,,华附知识城,省实荔湾,,省实白云,,广雅荔湾,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,六中从化,,六中花都,,侨中,,协和,,广附,"铁
__
越
秀",,"铁
__
番
禺",,"   铁
   _
   白
   云",,广州外国语,,清湾智谷,,清湾智慧城,,仲元,,番中,番实,,象贤,,石碁,洛溪新城,,,禺山,,石北,,石楼,,南村,,大龙,二师番禺附中
20 ,01 1322,广东番禺中学实验学校,,,142 ,,,7 ,,39 ,,,1 ,,0 ,1 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,1 ,,0 ,,0 ,,1 ,1 ,,0 ,,   0 ,,1 ,,0 ,,1 ,,7 ,,6 ,1 ,,6 ,,1 ,0 ,,,2 ,,3 ,,3 ,,4 ,,2 ,4 
21 ,01 1323,广东外语外贸大学番禺实验学校,,,76 ,,,4 ,,21 ,,,0 ,,0 ,0 ,,0 ,,0 ,0 ,,1 ,,0 ,,0 ,,1 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,   1 ,,0 ,,1 ,,0 ,,4 ,,1 ,0 ,,2 ,,0 ,0 ,,,6 ,,1 ,,1 ,,2 ,,0 ,4 
22 ,01 1324,广州市番禺区化龙中学,,,321 ,,,16 ,,99 ,,,2 ,,0 ,1 ,,1 ,,3 ,1 ,,1 ,,0 ,,1 ,,1 ,1 ,,0 ,,0 ,,2 ,,0 ,2 ,,0 ,,   0 ,,0 ,,0 ,,0 ,,10 ,,11 ,14 ,,15 ,,3 ,3 ,,,7 ,,6 ,,7 ,,5 ,,8 ,10 
23 ,01 1325,广州市番禺区石楼中学,,,227 ,,,12 ,,71 ,,,1 ,,1 ,2 ,,0 ,,1 ,0 ,,1 ,,0 ,,1 ,,0 ,0 ,,0 ,,0 ,,1 ,,1 ,0 ,,0 ,,   1 ,,1 ,,1 ,,0 ,,8 ,,5 ,13 ,,5 ,,6 ,4 ,,,10 ,,5 ,,2 ,,2 ,,5 ,6 
24 ,01 1326,广州市番禺区石楼镇第二中学,,,247 ,,,13 ,,68 ,,,1 ,,1 ,3 ,,0 ,,1 ,1 ,,0 ,,0 ,,2 ,,1 ,0 ,,0 ,,0 ,,0 ,,1 ,1 ,,0 ,,   1 ,,0 ,,0 ,,0 ,,10 ,,11 ,6 ,,3 ,,7 ,2 ,,,10 ,,6 ,,2 ,,2 ,,3 ,6 
25 ,01 1327,广州市番禺区石楼镇海鸥学校,,,228 ,,,12 ,,63 ,,,0 ,,0 ,0 ,,0 ,,1 ,0 ,,0 ,,0 ,,1 ,,1 ,0 ,,2 ,,1 ,,1 ,,3 ,0 ,,1 ,,   0 ,,0 ,,0 ,,1 ,,9 ,,5 ,3 ,,9 ,,8 ,5 ,,,7 ,,3 ,,0 ,,3 ,,2 ,9 
26 ,01 1328,广州市番禺区石碁中学,,,130 ,,,7 ,,40 ,,,1 ,,0 ,2 ,,2 ,,0 ,0 ,,0 ,,2 ,,0 ,,0 ,0 ,,0 ,,0 ,,0 ,,0 ,0 ,,0 ,,   0 ,,0 ,,0 ,,0 ,,1 ,,3 ,8 ,,4 ,,1 ,2 ,,,4 ,,4 ,,2 ,,2 ,,5 ,4 
27 ,01 1329,广州市番禺区育龙中学,,,216 ,,,11 ,,60 ,,,0 ,,0 ,1 ,,0 ,,0 ,2 ,,2 ,,0 ,,0 ,,0 ,0 ,,0 ,,1 ,,0 ,,1 ,1 ,,1 ,,   0 ,,2 ,,0 ,,0 ,,5 ,,8 ,5 ,,12 ,,0 ,2 ,,,7 ,,6 ,,3 ,,2 ,,3 ,7 
